,R(0.01),R(0.02),R(0.03),R(0.04),R(0.05),R(0.06),R(0.07),R(0.08),R(0.09),R(0.10),R(0.11),R(0.12),R(0.13),R(0.14),R(0.15)
2025-01-02 08:00:00+00:00,4214.492962194723,3399.4556917887458,2493.2201233968444,1884.6475658007112,1755.9241984786277,1522.0006391521456,1455.3565731705312,1338.652477450676,1229.9867582531879,1094.7920501115732,955.942980957072,877.6075543884217,779.4055056934594,620.4204383150864,657.9469421043541
2025-01-02 09:00:00+00:00,3941.5835897568177,3353.931770038762,2515.043392553278,1982.5466783077864,1697.4550834198599,1490.9162790417395,1431.7677402064146,1298.0892030717878,1242.0925725057677,1057.6573952877152,972.3396231959778,909.9764039382208,823.3764158741324,691.8926314300916,649.4160924481039
2025-01-02 10:00:00+00:00,4251.8578393284915,3509.4670392326807,2662.7766591924956,2142.8063536402115,1946.9252386150038,1737.0127887457857,1672.1299635403702,1567.5916085696444,1442.4141333655862,1315.9089891419862,1227.298998223203,1120.0884438973517,1064.6465301579738,963.0685383826421,790.1994688128689
2025-01-02 11:00:00+00:00,4395.37644295724,3723.781132530923,2863.1500099033074,2308.159597746395,2286.207656419654,2038.285155842248,1952.8453390216382,1769.77011509351,1701.3089956207114,1487.1672624205094,1397.3167676965313,1261.4389317885434,1184.3470517955866,1161.5391077723834,950.666980144335
2025-01-02 12:00:00+00:00,4126.042915548809,3612.029698913975,2710.3210930909845,2078.1610814010346,2084.832683312634,1816.6853533127287,1734.7162631597675,1456.127029467054,1508.54538187226,1158.4893646792698,1075.775806561156,959.9210555900427,840.950694727464,880.120686536211,606.0108462526987
2025-01-02 13:00:00+00:00,3770.7889377384345,3386.315675316546,2549.3515124288315,1868.1698533055314,1853.8712082029306,1581.9743649993252,1496.1118851326391,1300.273033592006,1322.1654672828736,1029.6390845609785,982.0379060251871,898.2255464742411,773.4409430621963,787.4027446356122,607.9038854587052
2025-01-02 14:00:00+00:00,3425.2845309442346,3323.046227254039,2683.1937220159743,2084.499819172961,2126.4172100974465,1839.6842848166416,1719.691767165452,1622.9800229478424,1608.992719037633,1411.422569393726,1424.584605709395,1351.0487729595843,1246.447873157289,1248.1740919299118,1108.8920169038756
2025-01-02 15:00:00+00:00,2882.7525068293908,2928.411911029638,2388.37454332388,1839.9399763683032,1925.1319861160518,1642.684217046757,1519.4111376956062,1418.940317760149,1456.299977552706,1255.6378855362636,1293.5880419634996,1234.7114667733986,1135.1123633834213,1174.4033751752431,952.10939533083
2025-01-02 16:00:00+00:00,2251.825482647153,2649.5774878458906,2249.30127787769,1867.1348380859854,1660.2789701849251,1437.587999514668,1328.3176903098501,1118.5734785454333,1332.4900365927533,983.6162504790846,1072.9068243787187,1068.242903866696,963.2670945812351,1055.11318412525,786.5738381419505
2025-01-02 17:00:00+00:00,2503.8947914366145,2402.5175440640887,1916.4992475545878,1570.788963665167,1389.1140316816018,1204.49779013847,1126.8547206527728,961.2232585448364,1068.4159970990877,844.4477073571907,893.5638641649421,832.4114401206461,799.5877010589029,916.5435694972984,550.8864216873335
